UDPV	// User ID
4-12-2020	// Evaluation date
UDLV_LV_08_orientation	4-12-2020	15:40:00:289	// Source file name and timestamp
100.000	// Sampling rate
43.243	// Data capture period

0.020000	// MOE
0.668000	// BslLeft
0.663000	// BslRight


Sample #	RHLBX	RHLBY	RHLBZ	RMALX	RMALY	RMALZ	RMELX	RMELY	RMELZ	LHLBX	LHLBY	LHLBZ	LMALX	LMALY	LMALZ	LMELX	LMELY	LMELZ	LMEMX	LMEMY	LMEMZ	LKNLX	LKNLY	LKNLZ	RKNLX	RKNLY	RKNLZ	LTRCX	LTRCY	LTRCZ	RTRCX	RTRCY	RTRCZ	LeftSuccessCount	RightSuccessCount	TargetHit_Left	TargetHit_Right	LeftCount	TrgtLeft	TrgtRight	LSL	RFx	RFy	RFz	LFx	LFy	LFz	RSL	Trgt	
20	0.116896	-0.840936	0.062084	0.169887	-0.777001	0.098617	0.200147	-0.652526	0.045718	-0.074516	-0.836632	0.060828	-0.117559	-0.766969	0.096670	-0.133392	-0.641802	0.045761	-0.022452	-0.626860	0.053782	0.184237	-0.759066	0.531789	-0.132299	-0.744675	0.539191	0.190046	-0.743094	0.950170	-0.148762	-0.751801	0.952989	0.000000	0.000000	0.000000	0.000000	0.000000	0.811512	0.513285	NaN	-0.040057	-0.010768	0.392129	0.037785	0.017306	0.369183	NaN	0.213878	
21	0.116911	-0.840940	0.062038	0.170082	-0.777035	0.098524	0.200202	-0.652633	0.045719	-0.074468	-0.836634	0.060804	-0.117562	-0.767020	0.096706	-0.133362	-0.641813	0.045832	-0.022471	-0.626871	0.053796	0.184220	-0.759055	0.531759	-0.132322	-0.744655	0.539169	0.189983	-0.743112	0.950104	-0.148812	-0.751810	0.953012	0.000000	0.000000	0.000000	0.000000	0.000000	0.811512	0.513285	NaN	-0.038531	-0.007411	0.393045	0.036259	0.017611	0.369793	NaN	0.213878	
22	0.116944	-0.840938	0.061979	0.169986	-0.777048	0.098537	0.200094	-0.652809	0.045643	-0.074430	-0.836633	0.060719	-0.117550	-0.766987	0.096698	-0.133367	-0.641833	0.045846	-0.022487	-0.626919	0.053754	0.184107	-0.759017	0.531687	-0.132372	-0.744700	0.539185	0.189954	-0.743099	0.950051	-0.148869	-0.751873	0.953017	0.000000	0.000000	0.000000	0.000000	0.000000	0.811512	0.513285	NaN	-0.037310	-0.004359	0.392129	0.036870	0.016696	0.369793	NaN	0.213878	
23	0.116950	-0.840948	0.061958	0.169963	-0.777007	0.098503	0.200078	-0.652838	0.045570	-0.074409	-0.836655	0.060691	-0.117526	-0.767008	0.096670	-0.133356	-0.641831	0.045812	-0.022477	-0.626932	0.053691	0.184227	-0.759036	0.531730	-0.132365	-0.744703	0.539143	0.189931	-0.743143	0.949997	-0.148880	-0.751857	0.952973	0.000000	0.000000	0.000000	0.000000	0.000000	0.811512	0.513285	NaN	-0.041277	-0.009547	0.391519	0.038395	0.018527	0.369183	NaN	0.213878	
24	0.116937	-0.840965	0.061921	0.169926	-0.777012	0.098474	0.200142	-0.652700	0.045518	-0.074397	-0.836662	0.060680	-0.117507	-0.767000	0.096637	-0.133337	-0.641819	0.045736	-0.022519	-0.626970	0.053598	0.184179	-0.759074	0.531708	-0.132337	-0.744692	0.539106	0.189896	-0.743129	0.949993	-0.148952	-0.751900	0.952936	0.000000	0.000000	0.000000	0.000000	0.000000	0.811512	0.513285	NaN	-0.039752	-0.010462	0.392740	0.036564	0.017306	0.369488	NaN	0.213878	
25	0.116929	-0.840963	0.061926	0.169886	-0.777002	0.098438	0.200138	-0.652586	0.045498	-0.074464	-0.836645	0.060674	-0.117563	-0.767012	0.096595	-0.133356	-0.641831	0.045688	-0.022520	-0.626955	0.053599	0.184158	-0.759064	0.531716	-0.132419	-0.744735	0.539130	0.189860	-0.743125	0.950009	-0.149034	-0.751881	0.952892	0.000000	0.000000	0.000000	0.000000	0.000000	0.811512	0.513285	NaN	-0.036700	-0.007411	0.391824	0.037480	0.016391	0.371319	NaN	0.213878	
26	0.116911	-0.840958	0.061985	0.169924	-0.777016	0.098473	0.200127	-0.652599	0.045529	-0.074505	-0.836643	0.060697	-0.117580	-0.767067	0.096606	-0.133373	-0.641835	0.045684	-0.022505	-0.626955	0.053620	0.184113	-0.759055	0.531756	-0.132441	-0.744721	0.539099	0.189810	-0.743130	0.950047	-0.149085	-0.751909	0.952874	0.000000	0.000000	0.000000	0.000000	0.000000	0.811512	0.513285	NaN	-0.040972	-0.007716	0.392434	0.038395	0.018222	0.371319	NaN	0.213878	
27	0.116902	-0.840954	0.062018	0.169862	-0.777026	0.098518	0.200107	-0.652574	0.045623	-0.074507	-0.836646	0.060750	-0.117603	-0.767097	0.096628	-0.133373	-0.641831	0.045698	-0.022473	-0.626945	0.053678	0.184055	-0.759051	0.531752	-0.132513	-0.744756	0.539113	0.189769	-0.743109	0.950131	-0.149124	-0.751913	0.952916	0.000000	0.000000	0.000000	0.000000	0.000000	0.811512	0.513285	NaN	-0.039752	-0.007105	0.392129	0.036564	0.017306	0.370709	NaN	0.213878	
28	0.116897	-0.840954	0.062051	0.169946	-0.777055	0.098491	0.200173	-0.652586	0.045742	-0.074523	-0.836670	0.060798	-0.117594	-0.767069	0.096681	-0.133397	-0.641835	0.045769	-0.022480	-0.626916	0.053760	0.184060	-0.759058	0.531802	-0.132532	-0.744704	0.539147	0.189773	-0.743124	0.950177	-0.149175	-0.751924	0.952967	0.000000	0.000000	0.000000	0.000000	0.000000	0.811512	0.513285	NaN	-0.037310	-0.008021	0.392129	0.036870	0.017611	0.370403	NaN	0.213878	
29	0.116920	-0.840925	0.062006	0.169913	-0.777048	0.098606	0.200085	-0.652748	0.045732	-0.074492	-0.836637	0.060805	-0.117564	-0.767024	0.096717	-0.133379	-0.641809	0.045842	-0.022473	-0.626861	0.053797	0.184051	-0.759045	0.531839	-0.132535	-0.744748	0.539210	0.189601	-0.743122	0.950095	-0.149194	-0.751939	0.952997	0.000000	0.000000	0.000000	0.000000	0.000000	0.811512	0.513285	NaN	-0.040057	-0.009852	0.391824	0.037480	0.016086	0.371319	NaN	0.213878	
