UDPV	// User ID
5-3-2021	// Evaluation date
UDLV_Constant_17_orientation	5-3-2021	14:25:11:343	// Source file name and timestamp
100.000	// Sampling rate
33.893	// Data capture period

0.020000	// MOE
0.615000	// BslLeft
0.634000	// BslRight


Sample #	RHLBX	RHLBY	RHLBZ	RMALX	RMALY	RMALZ	RMELX	RMELY	RMELZ	LHLBX	LHLBY	LHLBZ	LMALX	LMALY	LMALZ	LMELX	LMELY	LMELZ	LMEMX	LMEMY	LMEMZ	LKNLX	LKNLY	LKNLZ	RKNLX	RKNLY	RKNLZ	LTRCX	LTRCY	LTRCZ	RTRCX	RTRCY	RTRCZ	LeftSuccessCount	RightSuccessCount	TargetHit_Left	TargetHit_Right	LeftCount	TrgtLeft	TrgtRight	LSL	RFx	RFy	RFz	LFx	LFy	LFz	RSL	Trgt	
21	0.139022	-0.839605	0.075044	0.184848	-0.786977	0.108382	0.218530	-0.677741	0.036223	-0.070233	-0.840829	0.078990	-0.121436	-0.788904	0.105255	-0.165836	-0.687682	0.034481	-0.068404	-0.646162	0.042901	-0.121960	-0.736667	0.480261	0.196393	-0.722016	0.478158	-0.148547	-0.686318	0.888220	0.230536	-0.678298	0.890403	0.000000	0.000000	0.000000	0.000000	0.000000	0.744140	0.510140	NaN	-0.032488	-0.003579	0.316726	0.027137	-0.001605	0.237071	NaN	0.220000	
22	0.138996	-0.839650	0.074956	0.184828	-0.787063	0.108333	0.218513	-0.677850	0.036080	-0.070265	-0.840903	0.078883	-0.121441	-0.789003	0.105177	-0.165851	-0.687726	0.034429	-0.068422	-0.646298	0.042932	-0.121962	-0.736741	0.480125	0.196292	-0.722110	0.477992	-0.148573	-0.686466	0.888147	0.230495	-0.678472	0.890309	0.000000	0.000000	0.000000	0.000000	0.000000	0.744140	0.510140	NaN	-0.031878	-0.001748	0.317336	0.026527	-0.003436	0.238597	NaN	0.220000	
23	0.139003	-0.839642	0.074921	0.184862	-0.787142	0.108266	0.218415	-0.677853	0.035871	-0.070252	-0.840911	0.078915	-0.121403	-0.788995	0.105093	-0.165839	-0.687666	0.034418	-0.068403	-0.646324	0.042899	-0.121940	-0.736816	0.480157	0.196254	-0.722201	0.477875	-0.148551	-0.686599	0.888136	0.230543	-0.678626	0.890263	0.000000	0.000000	0.000000	0.000000	0.000000	0.744140	0.510140	NaN	-0.033709	-0.002664	0.317946	0.027137	-0.003741	0.239512	NaN	0.220000	
24	0.138992	-0.839660	0.074988	0.184877	-0.787019	0.108266	0.218490	-0.677726	0.035979	-0.070208	-0.840865	0.079019	-0.121346	-0.788925	0.105097	-0.165846	-0.687569	0.034493	-0.068406	-0.646277	0.042783	-0.122025	-0.736903	0.480326	0.196315	-0.722269	0.478015	-0.148606	-0.686701	0.888249	0.230538	-0.678666	0.890342	0.000000	0.000000	0.000000	0.000000	0.000000	0.744140	0.510140	NaN	-0.033098	-0.002664	0.317641	0.027747	0.001752	0.239818	NaN	0.220000	
25	0.139027	-0.839552	0.075162	0.184906	-0.786875	0.108394	0.218478	-0.677602	0.036174	-0.070231	-0.840801	0.079094	-0.121423	-0.788843	0.105221	-0.165870	-0.687425	0.034631	-0.068393	-0.646217	0.042800	-0.122193	-0.737070	0.480678	0.196463	-0.722263	0.478463	-0.148750	-0.686867	0.888464	0.230589	-0.678686	0.890551	0.000000	0.000000	0.000000	0.000000	0.000000	0.744140	0.510140	NaN	-0.031267	-0.003885	0.317031	0.029273	-0.003741	0.240733	NaN	0.220000	
26	0.139097	-0.839438	0.075238	0.184887	-0.786769	0.108503	0.218512	-0.677463	0.036355	-0.070233	-0.840781	0.079159	-0.121446	-0.788798	0.105347	-0.165861	-0.687330	0.034731	-0.068431	-0.646209	0.042849	-0.122226	-0.737175	0.480837	0.196478	-0.722290	0.478729	-0.148853	-0.687016	0.888651	0.230565	-0.678731	0.890698	0.000000	0.000000	0.000000	0.000000	0.000000	0.744140	0.510140	NaN	-0.032183	-0.006021	0.315810	0.026832	-0.005878	0.240733	NaN	0.220000	
27	0.139112	-0.839403	0.075206	0.184934	-0.786816	0.108497	0.218528	-0.677512	0.036430	-0.070213	-0.840792	0.079143	-0.121446	-0.788838	0.105363	-0.165872	-0.687394	0.034719	-0.068405	-0.646228	0.042905	-0.122247	-0.737268	0.480772	0.196452	-0.722346	0.478824	-0.148898	-0.687218	0.888605	0.230582	-0.678800	0.890751	0.000000	0.000000	0.000000	0.000000	0.000000	0.744140	0.510140	NaN	-0.033098	-0.001748	0.316421	0.026832	-0.000385	0.241038	NaN	0.220000	
28	0.139089	-0.839509	0.075091	0.184921	-0.786937	0.108450	0.218483	-0.677656	0.036315	-0.070231	-0.840843	0.078999	-0.121490	-0.789012	0.105277	-0.165871	-0.687608	0.034631	-0.068366	-0.646247	0.042955	-0.122156	-0.737295	0.480444	0.196377	-0.722414	0.478558	-0.148863	-0.687470	0.888356	0.230538	-0.678948	0.890598	0.000000	0.000000	0.000000	0.000000	0.000000	0.744140	0.510140	NaN	-0.033404	-0.000222	0.311843	0.029884	-0.004352	0.240428	NaN	0.220000	
29	0.139133	-0.839542	0.074840	0.184885	-0.787089	0.108329	0.218542	-0.677853	0.036182	-0.070309	-0.840990	0.078822	-0.121464	-0.789093	0.105101	-0.165909	-0.687788	0.034493	-0.068401	-0.646299	0.042992	-0.122036	-0.737251	0.479997	0.196208	-0.722474	0.478194	-0.148852	-0.687641	0.888168	0.230510	-0.679154	0.890449	0.000000	0.000000	0.000000	0.000000	0.000000	0.744140	0.510140	NaN	-0.034014	-0.005105	0.315810	0.028968	-0.003436	0.240428	NaN	0.220000	
30	0.139002	-0.839729	0.074862	0.184870	-0.787171	0.108224	0.218568	-0.677930	0.036082	-0.070378	-0.841136	0.078741	-0.121430	-0.789115	0.104992	-0.165895	-0.687786	0.034410	-0.068429	-0.646312	0.042950	-0.121982	-0.737198	0.479818	0.196145	-0.722503	0.478078	-0.148866	-0.687772	0.888048	0.230492	-0.679265	0.890373	0.000000	0.000000	0.000000	0.000000	0.000000	0.744140	0.510140	NaN	-0.033098	-0.006021	0.313674	0.025916	-0.003131	0.241038	NaN	0.220000	
